"5.0,0.0,1.0,0,0.47,0.53"
"7.0,0.0,1.0,0,0.36,0.64"
"8.0,0.0,1.0,0,0.45,0.55"
"11.0,0.0,0.0,1,0.56,0.44"
"15.0,0.0,0.0,1,0.66,0.34"
"23.0,0.0,1.0,0,0.36,0.64"
"33.0,0.0,0.0,1,0.66,0.34"
"78.0,0.0,0.0,1,0.58,0.42"
"80.0,0.0,1.0,0,0.36,0.64"
"100.0,0.0,1.0,0,0.36,0.64"
"116.0,0.0,1.0,0,0.36,0.64"
"122.0,0.0,0.0,1,0.66,0.34"
"148.0,0.0,0.0,1,0.66,0.34"
"155.0,0.0,0.0,1,0.66,0.34"
"167.0,0.0,0.0,1,0.58,0.42"
"172.0,0.0,1.0,0,0.36,0.64"
"174.0,0.0,1.0,0,0.36,0.64"
"189.0,0.0,0.0,1,0.51,0.49"
"214.0,0.0,0.0,1,0.56,0.44"
"221.0,0.0,0.0,1,0.56,0.44"
"233.0,0.0,0.0,1,0.66,0.34"
"243.0,0.0,1.0,0,0.47,0.53"
"244.0,0.0,0.0,1,0.56,0.44"
"264.0,0.0,1.0,0,0.45,0.55"
"270.0,0.0,0.0,1,0.56,0.44"
"286.0,0.0,0.0,1,0.58,0.42"
"297.0,0.0,0.0,1,0.58,0.42"
"299.0,0.0,1.0,0,0.45,0.55"
"317.0,0.0,0.0,1,0.51,0.49"
"327.0,0.0,1.0,0,0.36,0.64"
"331.0,0.0,0.0,1,0.66,0.34"
"363.0,0.0,0.0,1,0.66,0.34"
"399.0,0.0,0.0,1,0.58,0.42"
"403.0,0.0,0.0,1,0.56,0.44"
"430.0,0.0,0.0,1,0.66,0.34"
"443.0,0.0,1.0,0,0.36,0.64"
"455.0,0.0,1.0,0,0.36,0.64"
"460.0,0.0,0.0,1,0.66,0.34"
"476.0,0.0,1.0,0,0.36,0.64"
"479.0,0.0,1.0,0,0.36,0.64"
"480.0,0.0,1.0,0,0.45,0.55"
"487.0,0.0,1.0,0,0.47,0.53"
"514.0,0.0,1.0,0,0.47,0.53"
"515.0,0.0,1.0,0,0.36,0.64"
"530.0,0.0,1.0,0,0.36,0.64"
"537.0,0.0,0.0,1,0.58,0.42"
"538.0,0.0,0.0,1,0.61,0.39"
